754
0	1	2559	
1	3	2291	
2	4	2697	
3	5	2292	
4	6	2459	
5	8	2388	
6	10	2412	
7	11	2824	
8	13	2386	
9	17	2575	
10	20	2434	
11	22	2540	
12	23	2398	
13	24	2639	
14	25	2572	
15	27	2608	
16	29	2820	
17	31	2806	
18	32	2461	
19	33	2775	
20	36	2550	
21	37	2729	
22	39	2555	
23	40	2667	
24	42	2601	
25	46	2814	
26	51	2533	
27	52	2338	
28	53	2417	
29	54	2334	
30	56	2652	
31	58	2715	
32	59	2409	
33	60	2712	
34	66	2563	
35	67	2632	
36	68	2696	
37	70	2351	
38	71	2773	
39	73	2787	
40	76	2777	
41	79	2689	
42	82	2803	
43	86	2597	
44	87	2342	
45	89	2722	
46	91	2356	
47	92	2445	
48	94	2233	
49	98	2411	
50	99	2757	
51	103	2369	
52	105	2326	
53	106	2710	
54	108	2465	
55	109	2487	
56	110	2332	
57	111	2542	
58	112	2402	
59	113	2680	
60	115	2733	
61	116	2488	
62	117	2780	
63	121	2263	
64	122	2345	
65	124	2746	
66	128	2553	
67	131	2256	
68	133	2538	
69	134	2579	
70	137	2615	
71	138	2610	
72	139	2490	
73	140	2810	
74	143	2812	
75	144	2493	
76	145	2244	
77	148	2473	
78	149	2523	
79	151	2336	
80	158	2527	
81	161	2819	
82	163	2785	
83	164	2280	
84	165	2303	
85	169	2464	
86	172	2547	
87	176	2776	
88	178	2613	
89	179	2594	
90	185	2255	
91	186	2485	
92	187	2510	
93	188	2714	
94	190	2315	
95	192	2635	
96	193	2668	
97	196	2680	
98	197	2642	
99	198	2361	
100	203	2746	
101	206	2591	
102	208	2277	
103	211	2769	
104	212	2673	
105	213	2496	
106	215	2404	
107	218	2735	
108	219	2270	
109	220	2630	
110	221	2730	
111	226	2655	
112	228	2588	
113	230	2515	
114	231	2367	
115	232	2430	
116	233	2480	
117	234	2424	
118	239	2670	
119	240	2645	
120	243	2280	
121	244	2789	
122	245	2708	
123	246	2367	
124	248	2394	
125	249	2671	
126	251	2705	
127	252	2491	
128	253	2805	
129	257	2350	
130	262	2775	
131	267	2500	
132	268	2577	
133	269	2809	
134	272	2808	
135	274	2484	
136	275	2417	
137	276	2475	
138	277	2546	
139	278	2651	
140	285	2674	
141	286	2439	
142	287	2431	
143	288	2788	
144	290	2817	
145	291	2508	
146	292	2800	
147	298	2694	
148	299	2602	
149	301	2257	
150	308	2807	
151	312	2595	
152	313	2612	
153	316	2529	
154	317	2628	
155	319	2713	
156	320	2477	
157	322	2557	
158	324	2669	
159	327	2469	
160	331	2435	
161	333	2764	
162	334	2383	
163	337	2422	
164	338	2537	
165	340	2368	
166	343	2711	
167	344	2660	
168	346	2255	
169	349	2691	
170	350	2305	
171	351	2357	
172	352	2517	
173	353	2518	
174	354	2320	
175	355	2532	
176	356	2771	
177	358	2231	
178	362	2237	
179	363	2470	
180	367	2271	
181	369	2613	
182	370	2721	
183	371	2648	
184	372	2296	
185	375	2460	
186	377	2236	
187	378	2429	
188	379	2389	
189	380	2659	
190	382	2458	
191	383	2280	
192	385	2579	
193	387	2749	
194	389	2440	
195	391	2744	
196	393	2239	
197	399	2755	
198	400	2418	
199	401	2645	
200	403	2289	
201	404	2450	
202	406	2818	
203	407	2762	
204	409	2446	
205	414	2794	
206	415	2717	
207	418	2282	
208	419	2324	
209	421	2663	
210	423	2438	
211	424	2449	
212	425	2379	
213	431	2548	
214	433	2249	
215	434	2429	
216	435	2568	
217	436	2359	
218	437	2786	
219	438	2454	
220	440	2517	
221	442	2301	
222	444	2266	
223	446	2554	
224	447	2483	
225	448	2464	
226	451	2543	
227	452	2337	
228	453	2400	
229	454	2360	
230	455	2630	
231	456	2715	
232	462	2685	
233	464	2242	
234	467	2294	
235	470	2373	
236	478	2495	
237	479	2230	
238	481	2252	
239	482	2642	
240	485	2778	
241	486	2637	
242	489	2563	
243	490	2421	
244	492	2519	
245	493	2723	
246	494	2566	
247	495	2798	
248	496	2298	
249	498	2441	
250	500	2574	
251	501	2514	
252	507	2808	
253	509	2736	
254	515	2784	
255	518	2297	
256	525	2775	
257	528	2580	
258	530	2634	
259	531	2385	
260	538	2792	
261	540	2395	
262	541	2661	
263	544	2354	
264	547	2241	
265	549	2751	
266	551	2572	
267	552	2344	
268	557	2626	
269	559	2261	
270	563	2631	
271	564	2518	
272	566	2289	
273	567	2816	
274	568	2581	
275	570	2599	
276	571	2371	
277	573	2275	
278	574	2583	
279	575	2232	
280	576	2796	
281	577	2419	
282	578	2611	
283	580	2778	
284	582	2823	
285	584	2525	
286	590	2267	
287	593	2644	
288	595	2502	
289	596	2720	
290	598	2575	
291	599	2667	
292	600	2330	
293	601	2335	
294	602	2517	
295	606	2698	
296	607	2620	
297	608	2602	
298	611	2474	
299	613	2312	
300	614	2725	
301	615	2575	
302	618	2377	
303	619	2756	
304	621	2489	
305	622	2600	
306	626	2334	
307	627	2775	
308	628	2471	
309	629	2645	
310	631	2649	
311	632	2724	
312	633	2253	
313	634	2439	
314	635	2657	
315	639	2272	
316	641	2619	
317	643	2370	
318	644	2481	
319	646	2701	
320	647	2313	
321	649	2585	
322	651	2278	
323	652	2499	
324	653	2606	
325	655	2372	
326	656	2343	
327	658	2524	
328	662	2393	
329	666	2695	
