130
0	0	1	1	
1	0	2	7	
2	0	1	13	
3	0	2	19	
4	1	1	22	
5	1	2	28	
6	2	2	32	
7	2	2	40	
8	2	1	46	
9	2	2	52	
10	3	2	54	
11	4	2	55	
12	5	2	56	
13	6	2	57	
14	7	2	58	
15	8	2	61	
16	8	2	69	
17	9	2	71	
18	10	2	73	
19	10	2	79	
20	11	2	83	
21	12	2	88	
22	13	2	89	
23	14	2	90	
24	15	2	91	
25	16	2	92	
26	17	2	93	
27	18	2	94	
28	19	2	95	
29	20	2	96	
30	21	2	97	
31	22	2	98	
32	23	2	100	
33	24	2	102	
34	25	2	103	
35	26	2	104	
36	27	2	105	
37	28	2	106	
38	29	2	107	
39	30	2	108	
40	31	2	109	
41	32	2	112	
42	33	2	117	
43	34	2	118	
44	35	1	120	
45	35	1	126	
46	36	1	130	
47	36	2	138	
48	37	1	142	
49	37	1	150	
50	37	1	156	
51	37	2	162	
52	38	2	164	
53	39	2	165	
54	40	2	166	
55	41	2	169	
56	42	2	174	
57	43	2	175	
58	44	2	176	
59	45	2	177	
60	46	2	178	
61	47	2	180	
62	47	2	186	
63	47	2	192	
64	48	2	194	
65	49	2	195	
66	50	2	196	
67	51	2	197	
68	52	2	199	
69	53	2	201	
70	54	1	203	
71	54	2	209	
72	55	2	211	
73	56	2	212	
74	57	2	213	
75	58	2	214	
76	59	2	217	
77	60	2	222	
78	61	2	224	
79	62	2	227	
80	62	1	233	
81	63	2	237	
82	64	1	244	
83	64	2	252	
84	64	2	258	
85	64	1	264	
86	65	2	267	
87	66	2	269	
88	67	2	270	
89	68	2	271	
90	69	2	273	
91	70	2	275	
92	71	1	277	
93	71	1	283	
94	71	2	289	
95	71	1	295	
96	72	2	297	
97	73	2	298	
98	74	2	299	
99	75	2	301	
100	76	2	303	
101	77	2	304	
102	78	2	305	
103	79	2	307	
104	80	2	309	
105	81	2	310	
106	82	2	311	
107	83	1	314	
108	83	1	322	
109	83	1	328	
110	83	1	334	
111	84	2	338	
112	85	2	343	
113	86	2	344	
114	87	2	347	
115	88	2	353	
116	88	2	359	
117	89	2	362	
118	90	2	364	
119	91	2	367	
120	92	2	372	
121	93	2	373	
122	94	2	375	
123	94	1	381	
124	95	2	385	
125	96	2	390	
126	97	2	391	
127	98	1	394	
128	98	1	402	
129	99	2	404	
